sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,SeqPlatform,collector.x,sampleType,year,yday,stationId,dist_km,month,day,Date,Population,Locality,Locality_code,InternalName,Season,City,State,Country,Latitude,Longitude,Collection_date,Day,Month,Year,Individuals,Sex,Inbred,collector.y,Publication,Analyzed,Clinal,Core20,dp_mean_auto,dp_mean_x,SRA,concord,
AT_gr_12_fall,Austria,Gross-Enzersdorf,10/20/12,48.2,16.37,fall,AT_gr,pooled,Europe,DrosRTEC,44,SRR3590552,SRX1801497,Illumina HiSeq 2000,Fabian/Flatt,wild,2012,294,AU000005901,3.969325079,10,20,10/20/12,AT_gr_12,AT_gr,VI,melVI_102012_FAT,fall,Gross-Enzersdorf,NA,Austria,48.2,16.37,10/20/12,20,10,2012,44,male,FALSE,Fabian/Flatt,Machado, Bergland et al 2021,yes,no,yes,79.87,38.79,SRS1468205,TRUE
AT_gr_12_spring,Austria,Gross-Enzersdorf,8/3/12,48.2,16.37,spring,AT_gr,pooled,Europe,DrosRTEC,62,SRR3590553,SRX1801498,Illumina HiSeq 2000,Fabian/Flatt,wild,2012,216,AU000005901,3.969325079,8,3,8/3/12,AT_gr_12,AT_gr,VI,melVI_082012_SPT,spring,Gross-Enzersdorf,NA,Austria,48.2,16.37,8/3/12,3,8,2012,62,male,FALSE,Fabian/Flatt,Machado, Bergland et al 2021,yes,no,yes,34.83,17.63,SRS1468206,TRUE
CA_es_12_fall,USA,Esparto,8/22/12,38.68,-122.046,fall,CA_es,pooled,NorthAmerica,DrosRTEC,92,SRR3939043,SRX1968272,Illumina HiSeq 2000,H._Machado,wild,2012,235,USR0000CBRO,10.75110593,8,22,8/22/12,CA_es_12,CA_es,rd,mel142_082012_RD,fall,Esparto,California,USA,38.68,-122.046,8/22/12,22,8,2012,92,male,FALSE,H. Machado,Machado, Bergland et al 2021,yes,no,yes,58.69,29.5,SRS1577357,FALSE
CA_es_12_spring,USA,Esparto,6/13/12,38.68,-122.046,spring,CA_es,pooled,NorthAmerica,DrosRTEC,27,SRR3939042,SRX1968271,Illumina HiSeq 2000,H._Machado,wild,2012,165,USR0000CBRO,10.75110593,6,13,6/13/12,CA_es_12,CA_es,rd,mel137_062012_RD,spring,Esparto,California,USA,38.68,-122.046,6/13/12,13,6,2012,27,male,FALSE,H. Machado,Machado, Bergland et al 2021,yes,no,yes,68.19,33.06,SRS1577356,FALSE
CA_es_13_fall,USA,Esparto,9/1/13,38.68,-122.046,fall,CA_es,pooled,NorthAmerica,DrosRTEC,57,SRR3939048,SRX1968277,Illumina HiSeq 2000,H._Machado,wild,2013,244,USR0000CBRO,10.75110593,9,1,9/1/13,CA_es_13,CA_es,rd,mel178_092013_RD,fall,Esparto,California,USA,38.68,-122.046,9/1/13,1,9,2013,57,male,FALSE,H. Machado,Machado, Bergland et al 2021,yes,no,yes,71.81,35.76,SRS1577364,TRUE
CA_es_13_spring,USA,Esparto,5/7/13,38.68,-122.046,spring,CA_es,pooled,NorthAmerica,DrosRTEC,50,SRR3939104,SRX1968333,Illumina HiSeq 2000,H._Machado,wild,2013,127,USR0000CBRO,10.75110593,5,7,5/7/13,CA_es_13,CA_es,rd,mel169_052013_RD,spring,Esparto,California,USA,38.68,-122.046,5/7/13,7,5,2013,50,male,FALSE,H. Machado,Machado, Bergland et al 2021,yes,no,yes,64.62,32.48,SRS1577418,TRUE
CA_tu_13_fall,USA,Tuolumne,8/31/13,37.97,-120.26,fall,CA_tu,pooled,NorthAmerica,DrosRTEC,100,SRR3939046,SRX1968275,Illumina HiSeq 2000,H._Machado,wild,2013,243,USR0000CELI,10.39771913,8,31,8/31/13,CA_tu_13,CA_tu,co,mel176_082013_CO,fall,Tuolumne,California,USA,37.97,-120.26,8/31/13,31,8,2013,100,male,FALSE,H. Machado,Machado, Bergland et al 2021,yes,no,yes,91.89,48.97,SRS1577360,TRUE
CA_tu_13_spring,USA,Tuolumne,5/14/13,37.97,-120.26,spring,CA_tu,pooled,NorthAmerica,DrosRTEC,98,SRR3939044,SRX1968273,Illumina HiSeq 2000,H._Machado,wild,2013,134,USR0000CELI,10.39771913,5,14,5/14/13,CA_tu_13,CA_tu,co,mel171_052013_CO,spring,Tuolumne,California,USA,37.97,-120.26,5/14/13,14,5,2013,98,male,FALSE,H. Machado,Machado, Bergland et al 2021,yes,no,yes,63.03,31.04,SRS1577359,TRUE
ES_ba_12_fall,Spain,Barcelona,10/15/12,41.38,2.17,fall,ES_ba,pooled,Europe,DrosRTEC,29,SRR3590548,SRX1801493,Illumina HiSeq 2000,J._Gonzalez,wild,2012,289,SPE00155991,0.480981525,10,15,10/15/12,ES_ba_12,ES_ba,BA,melBA_102012_FAT,fall,Barcelona,NA,Spain,41.38,2.17,10/15/12,NA,10,2012,29,male,FALSE,J. Gonzalez,Machado, Bergland et al 2021,yes,no,yes,51.74,25.47,SRS1468204,TRUE
ES_ba_12_spring,Spain,Barcelona,7/13/12,41.38,2.17,spring,ES_ba,pooled,Europe,DrosRTEC,55,SRR3590549,SRX1801494,Illumina HiSeq 2000,J._Gonzalez,wild,2012,195,SPE00155991,0.480981525,7,13,7/13/12,ES_ba_12,ES_ba,BA,melBA_072012_SPT,spring,Barcelona,NA,Spain,41.38,2.17,7/13/12,13,7,2012,55,male,FALSE,J. Gonzalez,Machado, Bergland et al 2021,yes,no,yes,34.91,17.42,SRS1468202,TRUE
